Test	Medicamento	Animal	Epoca	Carrapato
NA	20	1	1	543
NA	30	2	1	323
NA	40	3	1	230
1	Comercial	4	1	149
NA	5	5	1	822
NA	10	6	1	599
NA	40	1	2	222
1	Comercial	2	2	134
NA	5	3	2	847
NA	10	4	2	572
NA	20	5	2	526
NA	30	6	2	311
NA	5	1	3	844
NA	10	2	3	567
NA	20	3	3	527
NA	30	4	3	320
NA	40	5	3	245
1	Comercial	6	3	118
NA	30	1	4	337
NA	40	2	4	225
1	Comercial	3	4	126
NA	5	4	4	820
NA	10	5	4	561
NA	20	6	4	545
NA	10	1	5	565
NA	20	2	5	545
NA	30	3	5	325
NA	40	4	5	219
1	Comercial	5	5	145
NA	5	6	5	835
1	Comercial	1	6	133
NA	5	2	6	812
NA	10	3	6	599
NA	20	4	6	519
NA	30	5	6	350
NA	40	6	6	246
